incident_id,participant_id,ndis_number,dob,incident_date,incident_time,notification_date,location,incident_type,subcategory,severity,reportable,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome
1,161,289492629,1996-07-21,2024-03-04,00:21,,"984 High St, Newtown NSW 2768",Behavioural Incident,Aggression,Minor,Non-Reportable,An incident of type Behavioural Incident (Aggression) occurred. A Behavioural Incident incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,165,,,False,False,,
2,611,176839883,2008-07-16,2024-03-04,09:49,,Care Home 8,Transport Incident,Vehicle crash,Major,Non-Reportable,An incident of type Transport Incident (Vehicle crash) occurred. A Transport Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,99,,,True,True,Hospital Visit,Stable
3,511,311039945,2017-05-07,2024-03-04,11:25,,Care Home 16,Unethical Staff Behaviour,Breach of duty of care,Minor,Non-Reportable,An incident of type Unethical Staff Behaviour (Breach of duty of care) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,113,,,False,False,,
4,511,311039945,2017-05-07,2024-03-05,06:08,,Care Home 16,Unethical Staff Behaviour,Deliberate neglect,Minor,Non-Reportable,An incident of type Unethical Staff Behaviour (Deliberate neglect) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,52,,,False,False,,
5,233,731149691,2017-08-15,2024-03-05,10:48,,Care Home 20,Infectious Disease Exposure,Flu outbreaks,Minor,Non-Reportable,An incident of type Infectious Disease Exposure (Flu outbreaks) occurred. A Infectious Disease Exposure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,44,,,False,False,,
6,478,471621769,1973-09-23,2024-03-05,22:38,,Care Home 22,Equipment Failure,Bed rail collapse,Major,Non-Reportable,An incident of type Equipment Failure (Bed rail collapse) occurred. A Equipment Failure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,31,,,True,True,GP Visit,Ongoing Care
7,67,294845616,2002-09-27,2024-03-06,04:49,,Care Home 15,Unethical Staff Behaviour,Breach of duty of care,Minor,Non-Reportable,An incident of type Unethical Staff Behaviour (Breach of duty of care) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,52,,,False,False,,
8,150,467964796,2014-09-14,2024-03-06,07:27,,Care Home 8,Verbal Abuse / Argument,Threatening language,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Threatening language) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,168,,,False,False,,
9,375,093362514,1970-08-21,2024-03-07,17:08,2024-03-08,"779 Queen St, Newtown NSW 2967",Medical Incident (Non-Injury),Seizure,Critical,Reportable,An incident of type Medical Incident (Non-Injury) (Seizure) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a community setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,95,,,True,True,First Aid,Recovered
10,633,447694882,1965-04-05,2024-03-07,19:23,,"52 George St, Surry Hills NSW 2160",Equipment Failure,Hoist malfunction,Minor,Non-Reportable,An incident of type Equipment Failure (Hoist malfunction) occurred. A Equipment Failure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,143,,,False,False,,
11,349,231351953,1993-12-14,2024-03-08,05:44,,Care Home 5,Near Miss,Medication nearly administered incorrectly,Minor,Non-Reportable,An incident of type Near Miss (Medication nearly administered incorrectly) occurred. A Near Miss incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,41,,,False,False,,
12,222,878840293,2014-12-30,2024-03-08,16:33,,Care Home 24,Medical Incident (Non-Injury),Allergic reaction,Major,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Allergic reaction) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,129,,,True,True,Hospital Visit,Recovered
13,502,427440711,1989-02-11,2024-03-08,19:30,,Care Home 7,Medical Incident (Non-Injury),Sudden illness onset,Minor,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Sudden illness onset) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,70,,,False,False,,
14,423,802796397,2006-07-23,2024-03-09,21:44,,"393 Queen St, Glebe NSW 2246",Environmental Hazard,Flooding,Major,Non-Reportable,An incident of type Environmental Hazard (Flooding) occurred. A Environmental Hazard incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,44,,,True,True,GP Visit,Recovered
15,303,413562750,2007-07-11,2024-03-10,05:57,,"639 Church St, Newtown NSW 2188",Near Miss,Door not secured,Major,Non-Reportable,An incident of type Near Miss (Door not secured) occurred. A Near Miss incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,2,,,True,True,First Aid,Recovered
16,530,046813919,1987-12-23,2024-03-10,13:34,,"292 Bridge Rd, Manly NSW 2767",Equipment Failure,Hoist malfunction,Major,Non-Reportable,An incident of type Equipment Failure (Hoist malfunction) occurred. A Equipment Failure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,31,,,True,True,Hospital Visit,Stable
17,281,825647515,1989-12-07,2024-03-10,22:55,,Care Home 10,Verbal Abuse / Argument,Threatening language,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Threatening language) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,19,,,False,False,,
18,102,574368603,2015-04-14,2024-03-13,13:42,,"573 Pitt St, Bondi NSW 2225",Serious Injury,Fractures,Minor,Non-Reportable,An incident of type Serious Injury (Fractures) occurred. A Serious Injury incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,131,,,False,False,,
19,461,721283585,1978-07-05,2024-03-13,22:24,,"204 Queen St, Burwood NSW 2161",Medical Incident (Non-Injury),Seizure,Minor,Non-Reportable,An incident of type Medical Incident (Non-Injury) (Seizure) occurred. A Medical Incident (Non-Injury) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,77,,,False,False,,
20,152,960343274,1960-11-04,2024-03-14,03:50,,"142 King St, Surry Hills NSW 2651",Verbal Abuse / Argument,Threatening language,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Threatening language) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,75,,,False,False,,
21,379,079070542,1963-11-13,2024-03-14,09:40,,"875 Railway Pde, Blacktown NSW 2593",Environmental Hazard,Fire alarm,Minor,Non-Reportable,An incident of type Environmental Hazard (Fire alarm) occurred. A Environmental Hazard incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,75,,,False,False,,
22,560,326614905,1963-04-06,2024-03-14,13:28,,Care Home 3,Restrictive Practices (Unauthorised),Chemical restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Chemical restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,92,,,False,False,,
23,198,911970840,1959-04-13,2024-03-14,15:04,,Care Home 13,Restrictive Practices (Unauthorised),Chemical restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Chemical restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,73,,,False,False,,
24,256,525329675,1991-10-02,2024-03-15,07:10,,Care Home 8,Neglect (Expanded),Lack of supervision,Major,Non-Reportable,An incident of type Neglect (Expanded) (Lack of supervision) occurred. A Neglect (Expanded) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,125,,,True,True,Specialist Consultation,Recovered
