incident_id,participant_id,ndis_number,dob,incident_date,incident_time,notification_date,location,address,incident_type,subcategory,severity,reportable,carer_id,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome,notification_time_frame
INC0001,P043,4543481446,2006-03-26,2025-07-27,07:29,2025-07-27,Participant's residence - Activity room,"51966 Monroe Gardens, Parramatta, NSW 2150",Self-Harm / Suicide,Ingestion of harmful substances,Critical,True,C2622,"Participant was found in their room with superficial scratches on their arms, caused by a paperclip.",Safety of participant ensured.,Collaboration with mental health professionals and medical team.,Mental health episode triggered by news,Carolyn Gonzales,,,False,False,,,24 hours
INC0002,P003,4921410511,1960-10-19,2025-06-12,04:32,2025-06-12,Participant's residence - Bedroom,"7658 Taylor Ways Apt. 963, Sydney, NSW 2000",Death,Unexpected,Critical,True,C2395,The participant passed away at the hospital after a medical emergency. The family had been notified earlier.,All relevant internal logs updated.,Formal NDIS report submitted.,Palliative stage of care,Jonathan Moreno,,,False,False,,,24 hours
INC0003,P097,2798248518,1985-01-09,2024-12-25,22:02,2024-12-25,Participant's residence - Outdoor area,"590 Lawrence Ports Apt. 248, Bondi, NSW 2026",Financial Misconduct / Error,Billing error,Medium,True,C8528,Support worker reported duplicate invoice payments.,Risk assessment completed.,Policies on managing participant funds updated and reinforced.,Lack of oversight on financial transactions,Jack Martin,,,False,False,,,5 business days
INC0004,P100,6710138176,1968-03-07,2024-09-02,14:37,2024-09-02,Participant's residence - Outdoor area,"9759 Jennifer Shores, Campbelltown, NSW 2560",Self-Harm / Suicide,Ingestion of harmful substances,High,True,C7529,Staff found participant in a potentially dangerous situation with intent to self-harm.,Review of participant's risk assessment and safety plan.,Development of a crisis management plan.,Lack of 1:1 supervision as per care plan,Jamie Roy,,,False,False,,,24 hours
INC0005,P055,9185773976,2004-02-26,2025-02-18,03:09,2025-02-18,Healthcare Facility (Hospital/Clinic),"96687 Rhonda Tunnel, Liverpool, NSW 2170",Serious Injury,Head injury,High,True,C3919,Incident involving a fall from a height resulting in injury.,"Participant supported to a safe sitting position, ice pack applied, and guardian notified.",Investigation into the root cause of the injury.,Fatigue due to long day,Mary Owens,Multiple fractures,High,False,False,,,24 hours
INC0006,P090,8640941618,2004-04-03,2024-12-06,18:33,2024-12-06,Supported Independent Living (SIL) Home,"8049 Felicia Vista, Parramatta, NSW 2150",Environmental Hazard,Electrical hazard,Medium,True,C6400,Pathway blocked by fallen debris after a storm.,Source of the hazard identified and isolated.,Policies and procedures on chemical storage and handling reinforced.,Inadequate storage solutions,James Koch,,,False,False,,,5 business days
INC0007,P070,8210928896,1991-08-24,2024-10-18,11:52,2024-10-19,Respite Care Facility,"179 Sanders Path Apt. 950, Campbelltown, NSW 2560",Financial Misconduct / Error,Misuse of funds,Medium,True,C1537,Staff member used participant's funds for personal items.,Review of participant's financial management plan.,Quality improvement process initiated for financial management.,Participant vulnerability to financial exploitation,Jacqueline Wright,,,False,False,,,5 business days
INC0008,P023,5925470246,1976-11-12,2025-05-01,19:24,2025-05-05,Participant's residence - Hallway,"0412 Anthony Islands, Wollongong, NSW 2500",Behavioural Incident,Throwing objects,Medium,True,C9761,Verbal intimidation directed at staff.,Internal incident report completed.,Communication methods with participant reviewed.,Disruption in routine,Melanie Ross,,,False,False,,,5 business days
INC0009,P018,5524271134,1966-07-22,2024-09-30,06:11,2024-09-30,Office/Administrative Area,"045 Barrett Light Suite 057, Newcastle, NSW 2300",Infectious Disease Exposure,COVID-19,High,True,C4748,Three residents displayed gastro symptoms after shared meal.,Medical assessment of symptomatic individuals.,NDIS report filed and contact tracing initiated.,Participant difficulty understanding hygiene practices,Deborah Riley,,,False,False,,,24 hours
INC0010,P017,1419842311,1972-04-15,2024-11-21,18:38,2024-11-21,Healthcare Facility (Hospital/Clinic),"283 Vance Shoals, Penrith, NSW 2750",Self-Harm / Suicide,Suicide attempts,High,True,C8436,"Participant was found in their room with superficial scratches on their arms, caused by a paperclip.",Risk assessment of the situation completed urgently.,Discussion with family/guardian about ongoing support.,Lack of access to appropriate support,Dr. Matthew Benton,,,False,False,,,24 hours
INC0011,P017,1419842311,1972-04-15,2024-12-04,06:57,2024-12-09,Participant's residence - Kitchen,"16529 Emily Greens Apt. 834, Liverpool, NSW 2170",Self-Harm / Suicide,Suicide attempts,Critical,True,C6905,"After an upsetting phone call, the participant ingested several non-prescription tablets in distress.",Support provided to the participant.,Formal report submitted to NDIS Commission.,Stress or anxiety,Christopher Glass,Severe head injury,Critical,True,False,,,24 hours
INC0012,P011,1418362089,1978-12-07,2024-09-11,13:24,2024-09-11,Participant's residence - Communal area,"886 Jeffrey Dam, Penrith, NSW 2750",Medical Incident (Non-Injury),Overheating,Medium,True,C6817,Sudden onset of dizziness and nausea reported by participant.,Participant monitored closely for changes in condition.,All staff reminded to review allergy profiles weekly.,Underlying health condition,Sarah Oneal,,,False,False,,,5 business days
INC0013,P042,9430150748,1974-06-19,2025-01-12,07:14,2025-01-12,Participant's residence - Activity room,"18794 Stephen Garden Suite 038, Newcastle, NSW 2300",Self-Harm / Suicide,Cutting,Critical,True,C6378,Participant attempted to harm themselves using a sharp object.,Emergency services contacted if required.,Collaboration with mental health professionals and medical team.,Social isolation,Calvin Warner,Internal bleeding,Critical,True,True,First Aid,Ongoing treatment,24 hours
INC0014,P087,1196338847,1965-12-01,2025-08-05,10:10,2025-08-05,Participant's residence - Activity room,"69436 Matthew Forge Suite 407, Chatswood, NSW 2067",Equipment Failure,Wheelchair breakdown,Medium,True,C2919,"Communication device stopped working, impacting participant's ability to communicate needs.",Equipment decommissioned and backup accessed.,Development of backup plans for critical equipment.,Wear and tear reported but not addressed,Jamie Stewart,Sprains,Medium,False,False,,,5 business days
