incident_id,participant_name,ndis_number,dob,incident_date,incident_time,notification_date,location,incident_type,subcategory,severity,reportable,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome
INC-2024-08-0001,Stephen Adams,43298401520,30/12/1942,06/01/2025,08:03,06/01/2025,Group Home,Transport Incident,Vehicle crash,Critical,No,Untrained staff member drove the vehicle unexpectedly.,Incident documented with support agency and transport authority.,Vehicle inspected and repaired; backup protocols added.,Driver error,Emily Martinez (Occupational Therapist),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-01-0002,Jessica Martin,43108791269,30/11/1954,19/09/2024,09:43,19/09/2024,Transport Vehicle,Death,Sudden,Critical,Yes,Participant died overnight in their sleep as part of their palliative care plan.,Family and GP notified; room secured pending formal procedures.,Incident reported to the NDIS Commission immediately.,Age-related decline,Eric Davis (Senior Support Worker),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-07-0003,Calvin Ramirez,43305086417,14/11/2003,14/09/2024,11:08,14/09/2024,Group Home,Death,Hospital-related,High,Yes,Participant was found unresponsive during the morning wellness check. Emergency services were contacted immediately.,Support staff followed emergency protocol and contacted emergency services and the on-call nurse.,Incident reported to the NDIS Commission immediately.,Pre-existing medical conditions,Shelly Martinez (Physiotherapist),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-09-0004,Alicia Perry,43617373175,14/01/2004,30/01/2025,15:43,01/02/2025,Transport Vehicle,Restrictive Practices (Unauthorised),Seclusion,Low,Yes,Chemical restraint used during distress event without required authorisation.,Participant debriefed and incident escalated to behaviour practitioner.,Behaviour support plan reviewed urgently.,Policy misunderstanding,Rebecca Meadows (Program Coordinator),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-04-0005,Victoria Perry,43840198180,30/12/1973,22/03/2025,16:55,22/03/2025,Supported Independent Living (SIL),Trip and Fall,Uneven surface,Low,No,A raised tile at the entrance caused participant to fall while entering.,Mat removed and area secured. Participant monitored for 24 hours.,Weekly hazard inspections implemented.,Mobility equipment issues,Mary Snyder (On-call Nurse),Minor cut,mild,Yes,Yes,first_aid,"Minor first aid provided, participant comfortable"
INC-2024-10-0006,Sandra Walter,43169915818,01/11/1966,26/06/2025,09:43,27/06/2025,Community Outing,Sexual Misconduct,Harassment,Critical,Yes,Participant reported feeling uncomfortable after another touched them without consent.,Staff member removed from shift pending investigation.,Staff retrained on professional boundaries and dignity in care.,Policy non-compliance,John Hernandez (Senior Support Worker),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-08-0007,Johnathan Miller,43857315235,09/08/1976,22/08/2024,06:19,23/08/2024,Transport Vehicle,Missing Person / Unexplained Absence,Participant not returning,Low,No,Participant did not return after walk and was found 45 minutes later at a nearby park.,Family and case manager informed immediately.,Location-tracking plan discussed with guardian.,Environmental factors,Katie Jackson (Physiotherapist),No physical injury,mild,No,No,none,No medical treatment required
INC-2024-08-0008,William Smith,43205337619,11/11/2006,05/07/2025,11:08,07/07/2025,Therapy Clinic,Serious Injury,Loss of consciousness,Critical,Yes,Participant tripped over a rug in the hallway and hit their head on a doorframe. They became dizzy and sat down immediately.,"Participant supported to a safe sitting position, ice pack applied, and guardian notified.",Manual handling protocol reviewed with all staff.,Equipment failure,Danielle Calhoun (Physiotherapist),Sprain,severe,Yes,Yes,specialist,Participant transferred to hospital for treatment
INC-2024-08-0009,Lauren Thompson,43655441672,30/06/1974,23/11/2024,14:52,23/11/2024,Day Program Center,Missing Person / Unexplained Absence,Participant not returning,High,No,Participant left group activity unnoticed and was later located at a shop.,"Perimeter searched, police notified as per protocol.",Location-tracking plan discussed with guardian.,Inadequate supervision,Abigail Hooper (Senior Support Worker),No physical injury,mild,No,No,none,No medical treatment required
INC-2025-03-0010,Stanley Hall,43974952555,04/09/1990,03/11/2024,20:58,03/11/2024,Workplace Training Site,Medical Incident (Non-Injury),Allergic reaction,Medium,No,Participant experienced mild seizure; was seated and monitored safely.,Ambulance called and allergy triggers removed.,Medical plan updated; incident discussed with GP.,Medication timing,Patricia Meyer (Occupational Therapist),No physical injury,mild,No,No,none,No medical treatment required
